ticker,company_name,year,market_cap,category,sector,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
FINEORG,Fine Organic Industries Ltd,2002,"₹16,495 Cr",Mid Cap,Chemicals,"₹5,377",0.72%,"₹3,407","₹5,959",57.81%,-9.77%,"₹5,216","₹4,912","₹4,545",0.34%,-1.02%,8.17%,29.33%,23.80%,2.73%,4.98%,158.86%,10858,17970,28810,20777,27805,-47.74%,-13.51%,38.66%,-60.95%,-35.37%,3.62%,-25.28%,0.5,"₹5,338",40,134,100,33.89%
RAINBOW,Rainbow Children's Medicare Ltd,1998,"₹16,449 Cr",Mid Cap,Healthcare Providers & Services,"₹1,620",5.56%,"₹1,079","₹1,710",50.11%,-5.25%,"₹1,545","₹1,464","₹1,455",6.50%,5.52%,10.05%,17.09%,11.91%,41.02%,233.92%,,1126756,361747,239198,202511,218452,456.39%,78.63%,18.12%,415.79%,65.60%,9.50%,-7.30%,5.6,"₹1,535",68,24,25,-4.28%
SHRIPISTON,Shriram Pistons & Rings Ltd,1963,"₹10,792 Cr",Mid Cap,Automobiles & Auto Parts,"₹2,450",2.12%,"₹1,663","₹2,610",47.36%,-6.13%,"₹2,451","₹2,432","₹2,107",0.82%,-0.43%,0.19%,30.47%,27.05%,27.08%,583.37%,757.58%,97586,54345,62117,100761,82251,-3.15%,-46.07%,-38.35%,18.64%,-33.93%,-24.48%,22.50%,1.0,"₹2,399",21,115,100,15.02%
DRCSYSTEMS,DRC Systems India Ltd,2012,₹252 Cr,Micro Cap,Software & IT Services,₹19,2.06%,₹16,₹35,16.84%,-45.93%,₹19,₹19,₹24,-0.58%,-0.63%,-3.30%,-21.82%,-32.38%,-32.41%,126.96%,,334302,95997,104910,252674,267132,32.31%,-62.01%,-58.48%,25.14%,-64.06%,-60.73%,-5.41%,1.3,₹18,17,1,2,-24.67%
BSHSL,Bombay Super Hybrid Seeds Ltd,2014,"₹1,451 Cr",Small Cap,Food & Tobacco,₹138,0.95%,₹116,₹208,19.37%,-33.53%,₹140,₹139,₹143,1.07%,-0.25%,-0.47%,4.22%,-0.92%,-29.72%,239.03%,,15816,15609,33366,46585,49443,-66.05%,-66.49%,-28.38%,-68.01%,-68.43%,-32.52%,-5.78%,0.3,₹137,55,3,2,68.00%
BLS,BLS International Services Ltd,1983,"₹15,134 Cr",Mid Cap,Professional & Commercial Services,₹368,0.23%,₹308,₹522,19.45%,-29.44%,₹376,₹383,₹399,-2.76%,-4.67%,-0.14%,-0.39%,-15.93%,9.80%,203.30%,1660.98%,1199335,1012442,1829656,2588603,3256566,-53.67%,-60.89%,-29.32%,-63.17%,-68.91%,-43.82%,-20.51%,0.5,₹367,30,12,15,-17.80%
ROLEXRINGS,Rolex Rings Ltd,2003,"₹4,112 Cr",Small Cap,"Machinery, Equipment & Components","₹1,510",0.31%,"₹1,210","₹2,794",24.75%,-45.96%,"₹1,542","₹1,539","₹1,659",0.24%,-0.55%,-1.04%,11.82%,-12.68%,-37.36%,-18.69%,,10107,18892,22471,23993,26179,-57.88%,-21.26%,-6.34%,-61.39%,-27.84%,-14.16%,-8.35%,0.4,"₹1,505",24,64,65,-1.71%
BRITANNIA,Britannia Industries Ltd,1918,"₹136,632 Cr",Large Cap,Food & Tobacco,"₹5,673",-0.82%,"₹4,506","₹6,470",25.89%,-12.32%,"₹5,783","₹5,654","₹5,219",-0.63%,-2.32%,-0.61%,4.50%,11.20%,-2.69%,49.01%,50.18%,229097,247378,252560,252972,368474,-9.44%,-2.21%,-0.16%,-37.83%,-32.86%,-31.46%,-31.35%,0.9,"₹5,720",63,90,85,6.41%
GLOBAL,Global Education Ltd,2011,₹334 Cr,Micro Cap,Miscellaneous Educational Service Providers,₹66,3.22%,₹41,₹90,60.17%,-27.03%,₹65,₹63,₹63,2.77%,2.24%,4.60%,6.02%,1.30%,-2.90%,72.08%,,50742,29187,41370,63612,85448,-20.23%,-54.12%,-34.97%,-40.62%,-65.84%,-51.59%,-25.56%,0.8,₹64,12,6,6,-7.67%
KSOLVES,Ksolves India Ltd,2014,₹808 Cr,Small Cap,Software & IT Services,₹338,-0.76%,₹311,₹559,8.92%,-39.46%,₹349,₹341,₹430,-1.28%,-9.58%,-1.70%,-21.87%,-32.68%,-36.65%,,,38984,313413,136116,100466,96098,-61.20%,211.96%,35.48%,-59.43%,226.14%,41.64%,4.55%,0.4,₹341,25,13,15,-10.67%
SKMEGGPROD,SKM Egg Products Export India Ltd,1995,₹781 Cr,Small Cap,Food & Tobacco,₹297,2.00%,₹154,₹320,92.53%,-7.44%,₹281,₹249,₹223,4.04%,-1.05%,19.50%,50.42%,34.41%,10.31%,394.17%,719.06%,13902,29530,64883,83984,71540,-83.45%,-64.84%,-22.74%,-80.57%,-58.72%,-9.31%,17.39%,0.2,₹291,23,13,15,-12.33%
VOLTAMP,Voltamp Transformers Limited,1967,"₹9,268 Cr",Mid Cap,"Machinery, Equipment & Components","₹9,135",-1.87%,"₹6,051","₹14,800",50.97%,-38.28%,"₹9,541","₹9,016","₹8,752",-3.20%,-4.99%,3.40%,21.38%,19.20%,-22.91%,185.56%,824.70%,17376,18374,37441,49043,58006,-64.57%,-62.53%,-23.66%,-70.04%,-68.32%,-35.45%,-15.45%,0.4,"₹9,309",28,322,100,221.65%
ESABINDIA,ESAB India Ltd,1987,"₹8,592 Cr",Mid Cap,"Machinery, Equipment & Components","₹5,591",-3.28%,"₹4,133","₹6,799",35.28%,-17.77%,"₹5,371","₹5,229","₹5,272",-2.88%,0.28%,8.40%,20.17%,11.84%,-12.35%,70.82%,320.17%,3527,6744,4613,4159,5391,-15.19%,62.15%,10.92%,-34.58%,25.08%,-14.44%,-22.86%,0.8,"₹5,781",49,114,100,13.96%
MAZDOCK,Mazagon Dock Shipbuilders Ltd,1934,"₹119,461 Cr",Large Cap,Aerospace & Defense,"₹2,957",1.30%,"₹1,918","₹3,775",54.18%,-21.66%,"₹3,150","₹3,289","₹2,609",1.22%,-2.98%,-7.11%,6.44%,28.96%,21.79%,2103.27%,,1220790,1381565,1661400,4196680,4084127,-70.91%,-67.08%,-60.41%,-70.11%,-66.17%,-59.32%,2.76%,0.3,"₹2,919",49,60,65,-7.95%
GEEKAYWIRE,Geekay Wires Ltd,1989,₹368 Cr,Micro Cap,"Machinery, Equipment & Components",₹70,-0.65%,₹63,₹148,11.33%,-52.40%,₹70,₹71,₹84,-0.28%,0.03%,-0.61%,-5.02%,-21.82%,-25.53%,347.69%,293.62%,50779,81427,66681,91678,89107,-44.61%,-11.18%,-27.27%,-43.01%,-8.62%,-25.17%,2.89%,0.6,₹71,10,7,6,15.50%
POLYCAB,Polycab India Ltd,1996,"₹103,003 Cr",Large Cap,"Machinery, Equipment & Components","₹6,820",-0.94%,"₹4,555","₹7,605",49.73%,-10.32%,"₹6,794","₹6,355","₹6,190",-2.02%,-0.96%,6.19%,22.19%,15.62%,6.11%,209.85%,750.48%,240792,552116,404328,384128,580817,-37.31%,43.73%,5.26%,-58.54%,-4.94%,-30.39%,-33.86%,0.6,"₹6,885",46,147,100,46.78%
CLEAN,Clean Science and Technology Ltd,2003,"₹13,600 Cr",Mid Cap,Chemicals,"₹1,280",-1.92%,"₹1,106","₹1,690",15.67%,-24.27%,"₹1,417","₹1,430","₹1,356",-1.46%,-11.44%,-14.83%,7.62%,-7.69%,-15.77%,-24.17%,,68311,304377,127797,137442,123826,-50.30%,121.46%,-7.02%,-44.83%,145.81%,3.21%,11.00%,0.5,"₹1,305",51,25,25,1.08%
ICEMAKE,Ice Make Refrigeration Ltd,2009,"₹1,262 Cr",Small Cap,"Machinery, Equipment & Components",₹800,-0.51%,₹575,"₹1,089",39.01%,-26.57%,₹793,₹808,₹804,-1.43%,-2.26%,1.47%,-20.95%,11.43%,2.52%,523.55%,,11724,12831,20874,55881,62788,-79.02%,-77.04%,-62.64%,-81.33%,-79.56%,-66.75%,-11.00%,0.2,₹804,55,15,15,-2.33%
EXPLEOSOL,Expleo Solutions Ltd,1998,"₹1,911 Cr",Small Cap,Software & IT Services,"₹1,231",-0.25%,₹735,"₹1,567",67.42%,-21.46%,"₹1,265","₹1,173","₹1,141",0.84%,0.89%,-4.60%,44.65%,-2.20%,-3.35%,-4.70%,363.46%,10703,19776,24815,47260,40623,-77.35%,-58.16%,-47.49%,-73.65%,-51.32%,-38.91%,16.34%,0.2,"₹1,234",16,30,25,19.60%
DREAMFOLKS,Dreamfolks Services Ltd,2008,₹785 Cr,Small Cap,Transport Infrastructure,₹147,3.16%,₹140,₹522,5.47%,-71.76%,₹178,₹227,₹305,1.40%,-6.74%,-34.98%,-38.28%,-57.96%,-68.54%,,,176440,220511,1054163,616040,460936,-71.36%,-64.20%,71.12%,-61.72%,-52.16%,128.70%,33.65%,0.3,₹143,12,12,15,-18.87%
KOTHARIPET,Kothari Petrochemicals Ltd,1989,"₹1,000 Cr",Small Cap,Chemicals,₹170,-0.97%,₹132,₹267,28.49%,-36.43%,₹178,₹175,₹176,-2.37%,-4.27%,-7.32%,5.97%,-0.84%,-4.16%,118.24%,997.55%,103409,89489,57788,74854,87422,38.15%,19.55%,-22.80%,18.29%,2.36%,-33.90%,-14.38%,1.4,₹172,15,11,9,24.22%
SHANTIGEAR,Shanthi Gears Ltd,1972,"₹4,603 Cr",Small Cap,"Machinery, Equipment & Components",₹600,3.38%,₹399,₹674,50.38%,-10.94%,₹521,₹509,₹496,7.04%,12.78%,20.85%,21.07%,34.79%,-7.36%,144.25%,655.78%,561653,308464,111052,67906,56150,727.11%,354.25%,63.54%,900.27%,449.35%,97.78%,20.94%,8.3,₹580,48,13,15,-16.53%
SOLARINDS,Solar Industries India Ltd,1995,"₹133,672 Cr",Large Cap,Chemicals,"₹14,772",-0.36%,"₹8,483","₹17,820",74.15%,-17.10%,"₹15,926","₹16,045","₹11,781",-1.11%,-2.48%,-13.11%,12.57%,55.85%,44.90%,421.65%,1363.95%,108336,44613,147804,183007,150904,-40.80%,-75.62%,-19.24%,-28.21%,-70.44%,-2.05%,21.27%,0.6,"₹14,826",111,134,100,33.65%
GRINFRA,G R Infraprojects Ltd,1995,"₹12,402 Cr",Mid Cap,Construction & Engineering,"₹1,282",1.56%,₹901,"₹1,810",42.29%,-29.17%,"₹1,284","₹1,291","₹1,288",1.03%,0.15%,0.96%,20.86%,2.27%,-24.51%,4.49%,,143130,37358,43188,53882,126256,165.64%,-30.67%,-19.85%,13.37%,-70.41%,-65.79%,-57.32%,2.7,"₹1,262",31,42,45,-7.29%
ASIANPAINT,Asian Paints Ltd,1945,"₹225,454 Cr",Mega Cap,Chemicals,"₹2,352",-0.99%,"₹2,125","₹3,395",10.70%,-30.72%,"₹2,406","₹2,327","₹2,380",-0.56%,-1.96%,2.64%,-4.58%,3.43%,-18.94%,-24.72%,31.60%,506960,455552,964180,1167064,1196317,-56.56%,-60.97%,-17.38%,-57.62%,-61.92%,-19.40%,-2.45%,0.4,"₹2,375",62,38,45,-15.00%
HGINFRA,HG Infra Engineering Ltd,2003,"₹7,022 Cr",Mid Cap,Construction & Engineering,"₹1,077",-0.65%,₹929,"₹1,730",16.03%,-37.71%,"₹1,078","₹1,090","₹1,201",-0.18%,-3.42%,3.55%,-0.79%,-12.80%,-36.78%,90.55%,479.81%,38466,55508,120132,124445,112876,-69.09%,-55.40%,-3.47%,-65.92%,-50.82%,6.43%,10.25%,0.3,"₹1,085",14,78,85,-8.76%
BECTORFOOD,Mrs. Bectors Food Specialities Ltd,1995,"₹9,544 Cr",Mid Cap,Food & Tobacco,"₹1,554",0.29%,"₹1,276","₹2,200",21.82%,-29.35%,"₹1,449","₹1,444","₹1,541",0.45%,0.27%,14.65%,2.42%,4.41%,10.91%,389.68%,,35571,79702,139715,97917,95076,-63.67%,-18.60%,42.69%,-62.59%,-16.17%,46.95%,2.99%,0.4,"₹1,550",65,24,25,-4.88%
INDRAMEDCO,Indraprastha Medical Corporation Ltd,1988,"₹4,281 Cr",Small Cap,Healthcare Providers & Services,₹467,-1.05%,₹245,₹572,90.46%,-18.36%,₹487,₹447,₹436,-0.87%,-3.66%,13.52%,12.84%,2.42%,73.51%,684.67%,843.50%,88297,114149,450744,269312,262955,-67.21%,-57.61%,67.37%,-66.42%,-56.59%,71.42%,2.42%,0.3,₹472,27,18,15,17.07%
RADIANTCMS,Radiant Cash Management Services Ltd,2005,₹607 Cr,Small Cap,Professional & Commercial Services,₹57,-2.41%,₹49,₹92,15.71%,-37.55%,₹61,₹64,₹68,-2.64%,-6.10%,-9.59%,-14.86%,-19.77%,-31.12%,,,324865,264712,284748,294440,466429,10.33%,-10.10%,-3.29%,-30.35%,-43.25%,-38.95%,-36.87%,1.1,₹59,13,4,4,26.00%
SIGMA,Sigma Solve Ltd,2010,₹402 Cr,Micro Cap,Software & IT Services,₹390,-0.83%,₹210,₹432,85.53%,-9.70%,₹379,₹370,₹328,0.59%,0.84%,2.47%,34.82%,23.07%,-4.82%,81.86%,,3526,3877,4414,16593,20885,-78.75%,-76.63%,-73.40%,-83.12%,-81.44%,-78.86%,-20.55%,0.2,₹393,21,19,15,23.80%
SESHAPAPER,Seshasayee Paper and Boards Ltd,1960,"₹1,793 Cr",Small Cap,Paper & Forest Products,₹284,1.37%,₹256,₹373,10.97%,-23.86%,₹297,₹292,₹291,-0.23%,-4.92%,-7.17%,3.36%,-4.99%,-16.32%,33.32%,87.71%,6670,27234,29175,27246,24153,-75.52%,-0.05%,7.08%,-72.38%,12.76%,20.80%,12.81%,0.2,₹281,20,15,15,-3.00%
TNPL,Tamilnadu Newsprint & Papers Ltd,1979,"₹1,157 Cr",Small Cap,Paper & Forest Products,₹168,-0.20%,₹116,₹266,45.63%,-36.76%,₹172,₹167,₹161,-0.49%,-1.38%,2.25%,25.83%,1.81%,-34.89%,-21.27%,51.00%,66355,74655,201581,170638,203167,-61.11%,-56.25%,18.13%,-67.34%,-63.25%,-0.78%,-16.01%,0.4,₹169,311,1,,
NH,Narayana Hrudayalaya Ltd,2000,"₹40,194 Cr",Large Cap,Healthcare Providers & Services,"₹1,978",-0.82%,"₹1,171","₹2,370",68.87%,-16.57%,"₹2,014","₹1,885","₹1,548",-0.82%,0.83%,-4.30%,9.57%,50.93%,59.12%,213.43%,551.95%,296144,279718,510397,455025,788176,-34.92%,-38.53%,12.17%,-62.43%,-64.51%,-35.24%,-42.27%,0.7,"₹1,994",51,39,45,-13.64%
JWL,Jupiter Wagons Ltd,1979,"₹15,401 Cr",Mid Cap,"Machinery, Equipment & Components",₹361,-0.63%,₹270,₹650,33.49%,-44.53%,₹374,₹387,₹407,-0.98%,-2.45%,-5.88%,-1.79%,-14.87%,-42.49%,511.13%,,420764,553927,643857,1851751,3742277,-77.28%,-70.09%,-65.23%,-88.76%,-85.20%,-82.80%,-50.52%,0.2,₹363,,,100,-100.00%
BAFNAPH,Bafna Pharmaceuticals Ltd,1995,₹210 Cr,Micro Cap,Pharmaceuticals,₹89,-0.20%,₹69,₹95,28.99%,-6.31%,₹87,₹80,₹79,0.00%,-0.80%,14.48%,11.24%,12.22%,5.48%,-19.78%,297.32%,3800,3698,9394,5310,4028,-28.44%,-30.36%,76.90%,-5.66%,-8.20%,133.20%,31.83%,0.7,₹89,51,2,2,17.33%
ACI,Archean Chemical Industries Ltd,2009,"₹8,418 Cr",Mid Cap,Chemicals,₹682,-2.27%,₹408,₹832,67.01%,-18.03%,₹664,₹642,₹614,-1.34%,-0.80%,7.92%,2.96%,20.72%,-5.88%,,,163245,172103,185492,239211,500517,-31.76%,-28.05%,-22.46%,-67.38%,-65.61%,-62.94%,-52.21%,0.7,₹698,52,13,15,-12.47%
SCHNEIDER,Schneider Electric Infrastructure Ltd,2011,"₹22,121 Cr",Large Cap,"Machinery, Equipment & Components",₹925,-1.36%,₹540,₹944,71.32%,-1.99%,₹863,₹786,₹721,-0.80%,2.81%,16.20%,52.28%,31.12%,20.68%,751.80%,1093.19%,97723,127755,95917,487906,438425,-79.97%,-73.82%,-80.34%,-77.71%,-70.86%,-78.12%,11.29%,0.2,₹938,83,11,9,24.44%
GRAVITA,Gravita India Limited,1992,"₹13,240 Cr",Mid Cap,Metals & Mining,"₹1,818",5.39%,"₹1,380","₹2,700",31.77%,-32.67%,"₹1,786","₹1,824","₹1,949",5.45%,5.25%,3.21%,-1.66%,-12.15%,9.69%,569.24%,3549.30%,1332132,389193,312651,394031,386174,238.08%,-1.23%,-20.65%,244.96%,0.78%,-19.04%,2.03%,3.4,"₹1,725",40,45,45,0.24%
SWARAJENG,Swaraj Engines Ltd,1985,"₹5,305 Cr",Mid Cap,Automobiles & Auto Parts,"₹4,367",-2.57%,"₹2,517","₹4,720",73.50%,-7.48%,"₹4,231","₹4,109","₹3,501",-0.76%,-2.21%,5.41%,4.81%,41.60%,47.15%,169.32%,215.34%,28447,44912,79110,40821,33705,-30.31%,10.02%,93.80%,-15.60%,33.25%,134.71%,21.11%,0.7,"₹4,482",31,142,100,42.19%
DPWIRES,D P Wires Ltd,1998,₹352 Cr,Micro Cap,Metals & Mining,₹225,-1.50%,₹186,₹460,21.11%,-51.01%,₹233,₹240,₹283,-0.79%,-1.81%,-3.50%,4.45%,-25.82%,-47.76%,-14.81%,382.42%,4829,6828,13604,24204,27215,-80.05%,-71.79%,-43.79%,-82.26%,-74.91%,-50.01%,-11.06%,0.2,₹229,16,14,15,-4.47%
ASHAPURMIN,Ashapura Minechem Ltd,1982,"₹5,392 Cr",Mid Cap,Metals & Mining,₹565,-0.88%,₹200,₹587,181.62%,-3.83%,₹490,₹435,₹391,1.82%,3.80%,30.88%,61.49%,7.64%,53.48%,412.77%,1361.64%,665506,961668,718522,515725,431872,29.04%,86.47%,39.32%,54.10%,122.67%,66.37%,19.42%,1.3,₹570,18,31,25,25.84%
JAIBALAJI,Jai Balaji Industries Ltd.,1999,"₹11,046 Cr",Mid Cap,Metals & Mining,₹120,1.65%,₹99,₹236,21.34%,-49.07%,₹124,₹113,₹151,0.14%,-0.62%,2.54%,-2.33%,-19.61%,-33.45%,1239.46%,3028.91%,923006,1413494,3925724,2195463,1468926,-57.96%,-35.62%,78.81%,-37.16%,-3.77%,167.25%,49.46%,0.4,₹118,19,6,6,3.00%
KPITTECH,KPIT Technologies Ltd,2018,"₹34,046 Cr",Large Cap,Software & IT Services,"₹1,252",-1.74%,"₹1,021","₹1,921",22.66%,-34.83%,"₹1,266","₹1,314","₹1,343",-0.33%,-2.36%,-3.27%,1.77%,-5.28%,-29.43%,140.78%,1771.55%,554957,493487,941231,1240968,1309565,-55.28%,-60.23%,-24.15%,-57.62%,-62.32%,-28.13%,-5.24%,0.4,"₹1,274",41,31,25,22.80%
DEVIT,Dev Information Technology Ltd,1997,₹262 Cr,Micro Cap,Software & IT Services,₹116,0.11%,₹94,₹191,23.05%,-39.16%,₹116,₹111,₹132,-2.46%,2.35%,8.96%,10.14%,-25.98%,-18.79%,25.33%,,45670,77092,61994,58449,85657,-21.86%,31.90%,6.07%,-46.68%,-10.00%,-27.63%,-31.76%,0.8,₹116,18,7,6,10.00%
VBL,Varun Beverages Ltd,1995,"₹164,308 Cr",Large Cap,Beverages,₹485,-0.57%,₹420,₹681,15.59%,-28.80%,₹468,₹472,₹538,-0.06%,-1.06%,5.79%,-8.67%,-10.11%,-26.62%,177.26%,698.15%,6791051,6075905,7460586,8357692,8747406,-18.74%,-27.30%,-10.73%,-22.36%,-30.54%,-14.71%,-4.46%,0.8,₹488,57,8,9,-5.89%
THANGAMAYL,Thangamayil Jewellery Ltd,2000,"₹5,819 Cr",Mid Cap,Specialty Retailers,"₹1,872",-0.47%,"₹1,523","₹2,568",22.91%,-27.08%,"₹1,898","₹1,900","₹1,916",-0.38%,-1.96%,-0.68%,-10.63%,10.54%,8.95%,248.63%,1192.75%,15073,25515,37822,41887,81575,-64.02%,-39.09%,-9.70%,-81.52%,-68.72%,-53.64%,-48.65%,0.4,"₹1,881",45,42,45,-6.67%
BCONCEPTS,Brand Concepts Ltd,2007,₹370 Cr,Micro Cap,Textiles & Apparel,₹331,-0.44%,₹273,₹739,21.18%,-55.20%,₹342,₹346,₹406,-0.50%,-2.63%,-4.90%,-8.62%,-25.93%,-44.51%,154.48%,,9372,8123,7826,11786,18276,-20.49%,-31.08%,-33.60%,-48.72%,-55.55%,-57.18%,-35.51%,0.8,₹332,58,6,6,-4.17%
CREATIVE,Creative Newtech Ltd,2004,₹937 Cr,Small Cap,Professional & Commercial Services,₹664,1.44%,₹622,"₹1,075",6.82%,-38.23%,₹653,₹685,₹801,0.72%,-0.02%,-5.22%,-11.35%,-30.68%,-8.89%,31.97%,617.84%,8808,12703,18256,14144,22235,-37.73%,-10.19%,29.07%,-60.39%,-42.87%,-17.90%,-36.39%,0.6,₹655,21,32,25,28.72%
LTTS,L&T Technology Services Ltd,2012,"₹45,582 Cr",Large Cap,Construction & Engineering,"₹4,301",-0.27%,"₹3,966","₹6,000",8.45%,-28.32%,"₹4,355","₹4,391","₹4,754",-0.44%,-2.51%,-1.47%,2.75%,-20.81%,-17.25%,32.19%,200.16%,39142,60485,100289,113127,134186,-65.40%,-46.53%,-11.35%,-70.83%,-54.92%,-25.26%,-15.69%,0.3,"₹4,313",36,120,100,19.59%
ELGIEQUIP,ELGI Equipments Ltd,1960,"₹18,753 Cr",Mid Cap,"Machinery, Equipment & Components",₹591,0.16%,₹401,₹753,47.31%,-21.55%,₹549,₹528,₹533,6.59%,6.70%,10.25%,26.87%,8.80%,-15.43%,63.95%,612.90%,1657618,2278155,1221334,940893,1019117,76.17%,142.13%,29.81%,62.65%,123.54%,19.84%,-7.68%,1.8,₹590,53,11,9,23.11%
WELENT,Welspun Enterprises Ltd,1994,"₹6,979 Cr",Mid Cap,Construction & Engineering,₹511,-0.38%,₹400,₹655,27.61%,-22.06%,₹524,₹514,₹521,-0.86%,-1.70%,-1.27%,2.79%,-14.22%,-0.37%,416.03%,786.36%,70075,81292,175891,229762,270995,-69.50%,-64.62%,-23.45%,-74.14%,-70.00%,-35.09%,-15.22%,0.3,₹512,20,25,25,1.80%
DIXON,Dixon Technologies (India) Ltd,1993,"₹101,301 Cr",Large Cap,"Computers, Phones & Household Electronics","₹16,755",1.20%,"₹10,722","₹19,149",56.27%,-12.50%,"₹15,673","₹15,184","₹15,401",3.99%,4.02%,18.67%,2.41%,7.86%,53.57%,356.06%,1040.29%,404842,465550,550858,469566,431554,-13.78%,-0.86%,17.31%,-6.19%,7.88%,27.65%,8.81%,0.9,"₹16,556",83,203,100,102.58%
